
Name                            BasePriority Company                   
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8 Microsoft Corporation     
svchost                                    8 Microsoft Corporation     
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
svchost                                    8                           
System                                     8                           
SystemSettings                             8 Microsoft Corporation     
taskhostw                                  8 Microsoft Corporation     
Telegram                                   8 Telegram FZ-LLC           
TextInputHost                             13 Microsoft Corporation     
unsecapp                                   8                           
UserOOBEBroker                             8 Microsoft Corporation     
wallpaper64                                8                           
wallpaperservice32                         8                           
Widgets                                    8 Microsoft Corporation     
WidgetService                              8 Microsoft Corporation     
WindowsTerminal                            8 Microsoft Corporation     
wininit                                   13                           
winlogon                                  13                           
wlanext                                    8                           
WmiApSrv                                   8                           
WmiPrvSE                                   8                           
WMIRegistrationService                     8                           
WorkloadsSessionHost                       8                           
WorkloadsSessionHost                       8                           
WorkloadsSessionHost                       8                           
WorkloadsSessionHost                       8                           
WorkloadsSessionHost                       8                           
WorkloadsSessionHost                       8                           
WorkloadsSessionHost                       8                           
WorkloadsSessionManager                    8                           
WUDFCompanionHost                         13                           
WUDFCompanionHost                         13                           
WUDFCompanionHost                         13                           
WUDFHost                                  13                           
WUDFHost                                   8                           
WUDFHost                                  13                           
WUDFHost                                   8                           
WUDFHost                                   8                           
WUDFHost                                   8                           


