lsmod > 11_2.txt 2>&1


Module                  Size  Used by
industrialio_triggered_buffer    12288  1 hid_sensor_trigger
mtd                   102400  3 spi_nor,cmdlinepart
mei_gsc_proxy          16384  0
intel_rapl_msr         20480  0
iwlmld                442368  0
kfifo_buf              12288  1 industrialio_triggered_buffer
snd_rawmidi            57344  1 snd_seq_midi
aesni_intel            94208  7
hid_sensor_iio_common    24576  2 hid_sensor_trigger,hid_sensor_prox
xe                   3932160  50
rapl                   20480  0
processor_thermal_device_pci    16384  0
intel_cstate           20480  0
industrialio          143360  4 industrialio_triggered_buffer,hid_sensor_trigger,hid_sensor_prox,kfifo_buf
snd_ctl_led            24576  0
uas                    32768  0
uvcvideo              147456  0
mac80211             1884160  1 iwlmld
gpu_sched              65536  1 xe
processor_thermal_device    24576  1 processor_thermal_device_pci
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
drm_gpuvm              49152  1 xe
btusb                  77824  0
libarc4                12288  1 mac80211
videobuf2_memops       16384  1 videobuf2_vmalloc
drm_gpusvm_helper      36864  1 xe
mfd_aaeon              12288  0
btrtl                  36864  1 btusb
platform_temperature_control    20480  1 processor_thermal_device
asus_nb_wmi            32768  0
usb_storage            86016  1 uas
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
videobuf2_v4l2         36864  1 uvcvideo
processor_thermal_soc_slider    16384  1 processor_thermal_device
drm_buddy              28672  1 xe
btintel                69632  1 btusb
asus_wmi              106496  2 asus_nb_wmi,mfd_aaeon
processor_thermal_rfim    40960  1 processor_thermal_device
videobuf2_common       90112  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
drm_ttm_helper         16384  1 xe
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
wmi_bmof               12288  0
btbcm                  24576  1 btusb
processor_thermal_rapl    16384  1 processor_thermal_device
videodev              372736  2 videobuf2_v4l2,uvcvideo
ttm                   131072  2 drm_ttm_helper,xe
btmtk                  36864  1 btusb
snd                   147456  23 snd_ctl_led,snd_soc_sof_sdw,snd_seq,snd_soc_cs42l43,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_compress,snd_soc_sdw_utils,snd_soc_core,snd_pcm,snd_rawmidi
iwlwifi               651264  1 iwlmld
drm_exec               12288  2 drm_gpuvm,xe
