ps -eo pid,stat,nlwp,comm --sort=-nlwp > 04.txt


    PID STAT NLWP COMMAND
     50 I<      1 kworker/5:0H-events_highpri
     51 S       1 cpuhp/6
     52 S       1 idle_inject/6
     53 S       1 migration/6
     54 S       1 ksoftirqd/6
     56 I<      1 kworker/6:0H-events_highpri
     57 S       1 cpuhp/7
     58 S       1 idle_inject/7
     59 S       1 migration/7
     60 S       1 ksoftirqd/7
     62 I<      1 kworker/7:0H-events_highpri
     63 I       1 kworker/u33:0-kvfree_rcu_reclaim
     64 I       1 kworker/u34:0-flush-259:0
     65 S       1 kdevtmpfs
     66 I<      1 kworker/R-inet_frag_wq
     67 I       1 rcu_tasks_kthread
     68 I       1 rcu_tasks_rude_kthread
     69 I       1 rcu_tasks_trace_kthread
     70 S       1 kauditd
     71 S       1 khungtaskd
     72 S       1 oom_reaper
     75 I<      1 kworker/R-writeback
     76 S       1 kcompactd0
     77 SN      1 ksmd
     78 SN      1 khugepaged
     79 I<      1 kworker/R-kblockd
     80 I<      1 kworker/R-blkcg_punt_bio
     81 I<      1 kworker/R-kintegrityd
     82 S       1 irq/9-acpi
     84 I       1 kworker/5:1-events
     85 I       1 kworker/u32:1
     86 I<      1 kworker/R-tpm_dev_wq
     87 I<      1 kworker/R-ata_sff
     88 I<      1 kworker/R-md
     89 I<      1 kworker/R-md_bitmap
     90 I<      1 kworker/R-edac-poller
     92 I<      1 kworker/R-devfreq_wq
     93 I       1 kworker/1:1-events
     94 S       1 watchdogd
     97 I<      1 kworker/4:1H-i915_cleanup
     98 S       1 irq/123-dmar1-perf
     99 S       1 irq/124-dmar0-perf
    100 S       1 irq/125-dmar2-perf
    101 S       1 kswapd0
    102 S       1 ecryptfs-kthread
    103 I<      1 kworker/R-kthrotld
    104 S       1 irq/126-pciehp
    105 S       1 irq/127-pciehp
    106 I<      1 kworker/R-acpi_thermal_pm
    107 I       1 kworker/u34:2-flush-259:0
    109 I       1 kworker/4:2-events
    110 S       1 hwrng
    112 I<      1 kworker/R-hfi-updates
    113 I<      1 kworker/R-mld
    114 I<      1 kworker/1:1H-i915_cleanup
    115 I<      1 kworker/R-ipv6_addrconf
    116 I<      1 kworker/R-kstrp
    117 I       1 kworker/3:1-events
    120 I<      1 kworker/u35:0-hci0
    121 I<      1 kworker/u36:0-ttm
