top -b -n 1 > 03.txt 2>&1


top - 00:42:47 up 15 min,  1 user,  load average: 0.18, 0.90, 1.15
Tasks: 420 total,   1 running, 415 sleeping,   0 stopped,   4 zombie
%Cpu(s):  5.6 us,  3.3 sy,  0.0 ni, 91.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31054.8 total,  21310.7 free,   6937.4 used,   3604.9 buff/cache     
MiB Swap:   7630.0 total,   7630.0 free,      0.0 used.  24117.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.39 kworker+
     98 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126+
    105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/127+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root      20   0       0      0      0 I   0.0   0.0   0:00.29 kworker+
    109 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.03 hwrng
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    117 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.13 kworker+
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.62 kworker+
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 kworker+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.29 kworker+
    165 root       0 -20       0      0      0 I   0.0   0.0   0:00.41 kworker+
    188 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.47 kworker+
    190 root       0 -20       0      0      0 I   0.0   0.0   0:00.53 kworker+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.38 kworker+
    248 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
    261 root      20   0       0      0      0 I   0.0   0.0   0:03.81 kworker+
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    267 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    268 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    269 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    282 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/112+
    285 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker+
    286 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    288 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    303 root      20   0       0      0      0 I   0.0   0.0   0:00.75 kworker+
    334 root      20   0       0      0      0 S   0.0   0.0   0:00.04 jbd2/nv+
    335 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    389 root      19  -1   99276  50628  48852 S   0.0   0.2   0:00.53 systemd+
    422 systemd+  20   0   18300   7804   6776 S   0.0   0.0   0:00.40 systemd+
    423 systemd+  20   0  165524   8096   6964 S   0.0   0.0   0:00.02 systemd+
    431 root      20   0   39368  12848   8024 S   0.0   0.0   0:00.26 systemd+
    433 systemd+  20   0   23544  14716  11692 S   0.0   0.0   0:00.17 systemd+
    460 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    537 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    538 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/172+
    545 root     -51   0       0      0      0 S   0.0   0.0   0:00.46 irq/173+
    546 root     -51   0       0      0      0 S   0.0   0.0   0:00.06 irq/174+
    547 root     -51   0       0      0      0 S   0.0   0.0   0:00.13 irq/175+
    548 root     -51   0       0      0      0 S   0.0   0.0   0:00.16 irq/176+
    549 root     -51   0       0      0      0 S   0.0   0.0   0:00.24 irq/177+
    550 root     -51   0       0      0      0 S   0.0   0.0   0:00.21 irq/178+
    551 root     -51   0       0      0      0 S   0.0   0.0   0:00.09 irq/179+
    552 root     -51   0       0      0      0 S   0.0   0.0   0:00.15 irq/180+
    553 root     -51   0       0      0      0 S   0.0   0.0   0:00.78 irq/181+
    554 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/182+
    562 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    563 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    586 root      20   0       0      0      0 S   0.0   0.0   0:00.07 usb-sto+
    615 root       0 -20       0      0      0 I   0.0   0.0   0:00.74 kworker+
    622 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    675 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    728 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/183+
    731 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/184+
    732 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/185+
    733 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/186+
    767 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    768 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    769 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    770 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    771 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    772 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
