top -b -n 1 > 03.txt 2>&1


top - 00:42:47 up 15 min,  1 user,  load average: 0.18, 0.90, 1.15
Tasks: 420 total,   1 running, 415 sleeping,   0 stopped,   4 zombie
%Cpu(s):  5.6 us,  3.3 sy,  0.0 ni, 91.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31054.8 total,  21310.7 free,   6937.4 used,   3604.9 buff/cache     
MiB Swap:   7630.0 total,   7630.0 free,      0.0 used.  24117.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3867 whoami    20   0   39144  12044  10528 S   0.0   0.0   0:00.06 snapd-d+
   3940 whoami    20   0  429640  31032  22300 S   0.0   0.1   0:00.13 snapd-d+
   3955 whoami    20   0  171768   7068   6376 S   0.0   0.0   0:00.03 gvfsd-m+
   4050 root       0 -20       0      0      0 I   0.0   0.0   0:00.85 kworker+
   4070 whoami    20   0   32.9g 565324 287580 S   0.0   1.8   2:55.04 chrome
   4075 whoami    20   0   15676   7112   6124 S   0.0   0.0   0:00.00 cat
   4076 whoami    20   0   15676   6920   5932 S   0.0   0.0   0:00.00 cat
   4078 whoami    20   0   32.0g   3448   3096 S   0.0   0.0   0:00.00 chrome_+
   4080 whoami    20   0   48.0g   3500   3168 S   0.0   0.0   0:00.00 chrome_+
   4086 whoami    20   0   48.6g  62316  48184 S   0.0   0.2   0:00.03 chrome
   4087 whoami    20   0   48.6g  62464  48420 S   0.0   0.2   0:00.04 chrome
   4089 whoami    20   0   48.6g  17952   3808 S   0.0   0.1   0:00.07 chrome
   4094 root       0 -20       0      0      0 I   0.0   0.0   0:00.80 kworker+
   4121 whoami    20   0   49.0g 217720 132196 S   0.0   0.7   0:52.26 chrome
   4124 whoami    20   0   32.4g 231168 105432 S   0.0   0.7   0:12.97 chrome
   4125 whoami    20   0  333364  84016  58372 S   0.0   0.3   0:00.32 Xwayland
   4135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4147 whoami    20   0  254268  13020  11036 S   0.0   0.0   0:00.07 gsd-xse+
   4153 whoami    20   0  833684  93656  72512 S   0.0   0.3   0:00.36 mutter-+
   4172 whoami    20   0  458512  64664  53392 S   0.0   0.2   0:00.05 ibus-x11
   4174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4175 whoami    20   0   48.7g  57848  39264 S   0.0   0.2   0:00.33 chrome
   4178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4190 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4196 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4261 whoami    20   0 1394.0g 247940 109272 S   0.0   0.8   0:15.06 chrome
   4269 whoami    20   0 1394.0g 131376  91728 S   0.0   0.4   2:24.47 chrome
   4371 whoami    20   0 1392.4g 168380 114436 S   0.0   0.5   0:00.96 chrome
   4376 whoami    20   0 1394.1g 199032 130216 S   0.0   0.6   0:02.73 chrome
   4378 whoami    20   0 1392.5g 524932 153812 S   0.0   1.7   4:17.14 chrome
   4400 whoami    20   0 1392.4g  90468  46044 S   0.0   0.3   0:00.93 chrome
   4423 whoami    20   0 1392.4g 188372 131284 S   0.0   0.6   0:01.99 chrome
   4460 whoami    20   0 1392.4g 156512 119932 S   0.0   0.5   0:00.59 chrome
   4472 whoami    20   0 1392.4g 121808  94564 S   0.0   0.4   0:00.16 chrome
   4486 whoami    20   0 1392.4g 193940 118972 S   0.0   0.6   0:38.77 chrome
   4508 whoami    20   0   32.5g  85960  70824 S   0.0   0.3   0:02.23 chrome
   4554 whoami    20   0 1392.4g 180656 123660 S   0.0   0.6   0:00.83 chrome
   4560 whoami    20   0 1392.4g 181056 123792 S   0.0   0.6   0:00.88 chrome
   4591 whoami    20   0 1392.4g 178128 123464 S   0.0   0.6   0:00.66 chrome
   4622 whoami    20   0 1392.4g 204020 133316 S   0.0   0.6   0:01.35 chrome
   4643 whoami    20   0 1394.1g 449956 157520 S   0.0   1.4   1:55.76 chrome
   4656 whoami    20   0 1392.4g 173216 116844 S   0.0   0.5   0:00.87 chrome
   4684 whoami    20   0 1392.4g 173564 118140 S   0.0   0.5   0:00.71 chrome
   4711 whoami    20   0 1392.4g 358320 148768 S   0.0   1.1   3:49.23 chrome
   4792 whoami    20   0 1392.4g 120576  96388 S   0.0   0.4   0:00.15 chrome
   4815 whoami    20   0 1392.4g 184500 118544 S   0.0   0.6   0:27.47 chrome
   4841 whoami    20   0 1392.4g 121604  95916 S   0.0   0.4   0:00.16 chrome
   4876 whoami    20   0 1392.4g 168236 128556 S   0.0   0.5   0:00.47 chrome
   4892 whoami    20   0 1392.4g 161744 126748 S   0.0   0.5   0:00.43 chrome
   4974 whoami    20   0 1392.4g 153316 113604 S   0.0   0.5   0:00.65 chrome
   4997 whoami    20   0 1394.0g 162460 116916 S   0.0   0.5   0:00.49 chrome
   5015 whoami    20   0 1400.6g 261676 142660 S   0.0   0.8   0:06.19 chrome
   5042 whoami    20   0 1392.4g 155544 113324 S   0.0   0.5   0:00.41 chrome
   5077 whoami    20   0 1395.7g 294276 143704 S   0.0   0.9   0:08.29 chrome
   5086 whoami    20   0 1392.4g 197636 127644 S   0.0   0.6   0:01.97 chrome
   5275 whoami    20   0  454260  21264  18472 S   0.0   0.1   0:00.03 obexd
   5415 whoami    20   0 3876616 554132 191148 S   0.0   1.7   0:07.60 Telegram
   5442 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5459 whoami    20   0  398860  13932  11744 S   0.0   0.0   0:00.04 glib-pa+
   5649 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
   5698 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5705 root       0 -20       0      0      0 I   0.0   0.0   0:00.39 kworker+
   5706 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker+
   6028 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
   6033 whoami    20   0 2220708 170928  99640 S   0.0   0.5   0:14.36 nautilus
   6059 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6060 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6061 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6067 whoami    20   0  390348   9720   7996 S   0.0   0.0   0:00.07 gvfsd-r+
   6069 whoami    20   0  389884   9312   8244 S   0.0   0.0   0:00.01 gvfsd-n+
   6083 whoami    20   0  390912   9348   8324 S   0.0   0.0   0:00.00 gvfsd-d+
   6089 whoami    20   0  389272   8904   7920 S   0.0   0.0   0:00.02 gvfsd-w+
   6094 whoami    20   0   44740  31432  12820 S   0.0   0.1   0:00.18 python3
   6113 whoami    20   0  389888   9264   8104 S   0.0   0.0   0:00.04 gvfsd-c+
   6577 whoami    20   0 1513812  25784  17112 S   0.0   0.1   0:00.07 snap
   6937 root      20   0       0      0      0 I   0.0   0.0   0:00.37 kworker+
   6988 whoami    20   0 2498820 459788  97848 S   0.0   1.4   0:05.68 papers
   7018 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7019 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7020 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7069 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7096 whoami    20   0  644876  62320  48100 S   0.0   0.2   0:03.12 gnome-t+
   7103 whoami    20   0   12280   6344   3984 S   0.0   0.0   0:00.05 bash
   7179 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
   7180 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7262 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7320 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
   7365 whoami    20   0 1392.3g  75320  56060 S   0.0   0.2   0:00.04 chrome
   7470 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7472 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7473 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
   7474 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
   7475 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
   7493 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
